designation,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat
Gaia DR2 6726705039431840768,2015.5,277.24909711559826,0.32021823346189116,-39.7558916958669,0.34469255402379795,0.5330782048004034,0.3886353017236992,-0.6105834408659205,0.6165257966551317,-3.389916374068032,0.5434464116904782,1.3533846943705938,0.068183584877403,19.093374,,,354.6688384625418,-12.986419169856273,275.80561158513547,-16.46259084797855
Gaia DR2 6726706486853090944,2015.5,277.2250518148288,0.13772520851345335,-39.67276161081484,0.15747454652669507,0.5977706254790311,0.19955027215578353,-1.1937760448318895,0.2773874644848288,-13.504015621449362,0.2535328230484646,1.4644867106737238,0.02715193032152582,17.122114,,,354.73845060082067,-12.934934761528325,275.79088225981013,-16.378607997124607
Gaia DR2 6726704940647760512,2015.5,277.2516774688274,1.6687567920923936,-39.777926378300364,1.6426785308644156,,,,,,,,,20.691204,,,354.6491312611837,-12.99740626015009,275.80647413595943,-16.484699147896777
Gaia DR2 6726707345830377344,2015.5,276.9104062588063,4.044485445485142,-39.92843836498608,4.15696199541062,,,,,,,,,20.75417,,,354.39649321533454,-12.822327736466319,275.5254822462104,-16.621611766025474
Gaia DR2 6726687829519617408,2015.5,275.6590742890883,0.8015216506616321,-38.75770453187245,0.918617094242859,-0.24912658364346119,1.1517942608045653,-2.7802142124552858,1.8092706378251018,-3.90510274878221,1.6628895843719662,1.6319712802583994,0.20601820926914746,20.21535,,,355.0570518478206,-11.447561388638714,274.574908630702,-15.408252184216234
Gaia DR2 6253671433241571456,2015.5,233.40645155645493,0.13925673489259544,-20.68013265101331,0.09113490615122538,0.08097590551739324,0.14807374376131577,-8.790043380289704,0.3144048228350092,-18.42632347021477,0.22265373239716374,1.5959827307558034,0.031474418909755594,17.652372,,,346.54056798621116,28.14290749594866,236.08925922642254,-1.4450497613470494
Gaia DR2 6253643842369341696,2015.5,232.7147233758247,6.318370678472934,-20.442777059063722,2.6683669301309387,,,,,,,,,21.20862,,,346.15927930465307,28.745738910827843,235.40342300739516,-1.3694511252562793
Gaia DR2 6253538010077122048,2015.5,232.75392730112938,0.14650282743262605,-21.103064268805777,0.10468551716094836,0.3423548121224595,0.15901973193935537,-0.3955837375473724,0.3420962716052826,-2.383263482294256,0.24185523123063404,1.535225836736714,0.035444146492064926,17.786522,,,345.7033391678703,28.219695503497633,235.59818883493529,-2.0014497574459553
Gaia DR2 6253662637145554048,2015.5,232.69847509220585,1.6465638983704105,-20.358905276408695,0.8972182832667212,-1.4600205952443572,1.831516391948726,-7.647611629735246,3.223160417224889,-4.309722938166954,2.0246491036481995,1.6608438698325774,0.3312408326507854,20.889395,,,346.208346550131,28.81933890797945,235.3684140576331,-1.2917244432913324
Gaia DR2 6253655211144267392,2015.5,232.6441558424118,0.592344171352378,-20.464302317637873,0.3755949605470455,0.13988736612702082,0.6546008360393115,-7.804043431919932,1.3008444360560418,-1.8581596989014784,0.8637255897592866,1.5308703900227125,0.14354057923614658,19.979141,,,346.0860083356026,28.772368405439586,235.34443228689616,-1.406290652704628
Gaia DR2 6253589553986097792,2015.5,232.9358939693897,0.12524862514251803,-20.684062446678087,0.07625666616884988,0.12697254499820312,0.14236059514527574,-1.6507026706203534,0.20914382167533632,-4.884518141581009,0.1601773272392574,1.6280567983728684,0.025355512860159326,17.008945,,,346.15939171407604,28.42777660188535,235.66252434471266,-1.5538698764404832
Gaia DR2 6253710564684038784,2015.5,233.76094449077084,0.5264344426208433,-20.273479266898416,0.3802652533771259,1.0818844464657658,0.6388103020862912,-5.299773249879852,1.1222076179589873,-2.9699426810655334,0.8164217421402319,1.3104938163113167,0.1390513644468802,19.90562,,,347.1279641568281,28.230078962762583,236.31595893520773,-0.9714644778233457
Gaia DR2 6253723483945761152,2015.5,233.61521779467924,0.4370908817004563,-20.217276444811503,0.27588779282550224,-0.5554038407920728,0.5057623008995582,0.6018544960219198,0.8259454642055972,0.9224181716259051,0.5895313732080895,1.4598257084620523,0.09897741277294857,19.295156,,,347.05360469263115,28.362612898455062,236.16982245564805,-0.949054163212492
Gaia DR2 6253607794705017344,2015.5,232.37208205056544,0.2234399386236987,-20.825170511589675,0.16164825714856157,-0.14917193737303489,0.2580377370317288,-0.4847702385007233,0.508023937340508,-6.594546799575682,0.3625139544895391,1.5830634591863924,0.05373280942993158,18.494246,,,345.59833489340076,28.662234689447413,235.18475058412687,-1.8180794151551163
Gaia DR2 6253585701394378880,2015.5,232.94467783386554,0.23578748004942443,-20.76637650788815,0.16463127087690035,1.0746103352515046,0.26366777310399886,-11.267364167610449,0.4739230198244594,-12.53045714114154,0.3492064139742924,1.416642040409385,0.05739255457385455,18.810184,,,346.1055257558485,28.359970409506946,235.69025065120047,-1.6318118050713357
